time (ms),datetime,samples,Viavi.UE.Name,Viavi.UE.Slice,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.mMIMO.Type,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.UE.targetThroughputDl,Viavi.UE.anomalies,Viavi.QoS.Priority,Viavi.QoS.5qi,Viavi.DL.Latency,Viavi.QoS.Score,DRB.UECqiUl,DRB.UEBlerUl,Viavi.DRB.UeMcsUl,DRB.UEThpUl,RRU.PrbUsedUl,TB.TotNbrUl,DRB.UECqiDl,DRB.UEBlerDl,Viavi.DRB.UeMcsDl,DRB.UEThpDl,RRU.PrbUsedDl,RRU.PrbTotDl,RRU.PrbTotUl,TB.TotNbrDl,Viavi.CA.cells,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.UE.servingDistance,RRC.timingAdvance,Viavi.UE.RI
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-27,eMBB,S6/N12/C1,0,CSI-RS,-117,-12,1.99333,0.8,0,20,1,0,93.9433,0,0,0,0.0386561,12.0756,449.5,4.99333,0.0740081,5.99556,0.748618,7.00481,6.60832,11.392,4061.5,1,-213,-544,32,510,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:00:00,1,Indoor-28,eMBB,S1/N12/C3,0,CSI-RS,-148,-36,-24,0,0,20,1,0,100,0,0,0,0,0,0,0,1,0,0.727051,23.3333,22.0126,0,16,0,-1517,1437,2,0,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-29,eMBB,S3/N12/C1,0,CSI-RS,-113.196,-11.1467,7.85778,0.8,0,20,1,0,97.9678,0,0,0,0.0550009,16.9367,447.51,7.96444,0.0883086,13.9378,0.784405,3.09864,2.92325,15.978,4059.51,1,-727,545,35.9844,530.328,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-30,eMBB,S7/N12/C2,0,CSI-RS,-122,-13,0,0.8,0,20,1,0,91,0,0,0,0.0312433,10.01,449.5,4,0.0687312,4,0.727051,10,9.43396,9.4434,4061.5,1,1836,-993,12,948,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:00:00,1,Indoor-31,eMBB,S3/N12/C1,0,CSI-RS,-149,-37,-24,0,0,20,1,0,100,0,0,0,0,0,0,0,1,0,0.727051,23.3333,22.0126,0,16,0,-1914,115,46,0,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-32,eMBB,S1/N12/C1,0,CSI-RS,-129.04,-18.0356,-6.04,0.8,0,20,1,0,91,0,0,0,0.082799,24.8833,447.51,1.99111,0.114616,0,0.727051,24.9981,23.5832,23.4748,4059.51,1,-1105,1434,16,776,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-33,eMBB,S1/N12/C3,0,CSI-RS,-94,-10,27,0.8,0,20,1,0,173.99,0,0,0,0.0216988,7.02667,449.5,15,0,28,1.38957,2.00099,1.88772,6.62893,4061.5,1,-740,674,2,310,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:00:00,1,Indoor-34,eMBB,S6/N12/C2,0,CSI-RS,-157,-44,-24,0,0,20,1,0,100,0,0,0,0,0,0,0,1,0,0.727051,23.3333,22.0126,0,16,0,-195,-520,42,0,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-35,eMBB,S6/N12/C1,0,CSI-RS,-114,-14.9933,-2.98222,0.8,0,20,1,0,91.9833,0,0,0,0.0386561,12.0756,449.5,3.00556,0.0868121,2.01222,0.734251,15.9623,15.0588,11.392,4061.5,1,-198,-586,26,466,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-36,eMBB,S1/N12/C3,0,CSI-RS,-103,-10,16.9878,0.8,0,20,1,0,148.869,0,0,0,0.021681,7.02222,449.5,13,0.0902943,24.9878,1.18744,2.00099,1.88772,6.62474,4061.5,1,-724,546,12,407,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-37,eMBB,S5/N12/C1,0,CSI-RS,-131.022,-20.0222,-9.02222,0.8,0,20,1,0,90.9956,0,0,0,0.0350802,10.9667,447.51,0,0.41171,0,0.727016,24.997,23.5821,10.3459,4059.51,1,-1094,1429,16,2414.78,6.96111,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-38,eMBB,S1/N12/C3,0,CSI-RS,-107.076,-11.0689,11.8778,0.8,0,20,1,0,99.7611,0,0,0,0.0215272,6.97556,447.51,10.9511,0.0939519,19.9111,0.797423,2.05198,1.93583,6.58071,4049.53,1,-721,542,12,409,0,1
